No,TKP,waktu kejadian,jenis kendaraan,tipe kecelakaan,penyebab,korban,tingkat korban,Jenis kecelakaan
70,Jl. Layang Pasupati,Sepi,R4,Tabrak Samping,tidak terampil,Luka Ringan,rendah,Sedang
71,Jl. Gatot Soebroto ,Sepi,R2,Tabrak Tunggal,Mengantuk,Meninggal dunia,rendah,Berat
72,Jl. Burangrang ,Sedang,R2,Tabrak Depan,lengah,Luka Ringan,Tinggi,Sedang
73,Jl. Eykman ,Sedang,R2,Tabrak Depan,lengah,Meninggal dunia,rendah,Berat
74,Jl. AH.Nasution ,Ramai,R2,Tabrak Samping,tidak terampil,Meninggal dunia,rendah,Berat
75,Jl.Soekarno Hatta ,Sedang,R2,Tabrak Manusia,lengah,Luka Ringan,rendah,Sedang
76,Jl.Soekarno Hatta ,Ramai,R2,Tabrak Depan,penyebab lain,Luka Ringan,rendah,Sedang
77,Jl. Ahmad Yani ,Sepi,R2,Tabrak Manusia,lengah,Luka Ringan,Tinggi,Sedang
78,Jl. Gunung Batu      ,Sepi,R4,Tabrak Tunggal,tidak terampil,Tidak Ada,Tidak ada,Ringan
79,Jl. Soekarno Hatta ,Sedang,R2,Tabrak Manusia,lengah,Luka Ringan,Tinggi,Sedang
80,Jl. AH.Nasution ,Sepi,R2,Tabrak Manusia,lengah,Meninggal dunia,rendah,Berat
81,Jl. Ibrahim Adjie,Sedang,R2,Tabrak Depan,tidak terampil,Tidak Ada,Tidak ada,Ringan
82,Jl. Ibrahim Adjie,Sedang,R4,Tabrak Depan,tidak terampil,Luka Ringan,rendah,Sedang
83,Jl. Naripan ,Sepi,R4,Tabrak Depan,tidak tertib,Meninggal dunia,rendah,Berat
84,Jl. Ir. H. Djuanda ,Ramai,R2,Tabrak Depan,tidak tertib,Luka Ringan,rendah,Sedang
85,Jl. Manisi                           ,Sepi,R2,Tabrak Depan,lengah,Luka Ringan,rendah,Sedang
86,Jl. Laswi                           ,Sedang,R2,Tabrak Depan,penyebab lain,Luka Ringan,rendah,Sedang
87,Jl. Pasteur ,Sedang,R4,Tabrak Depan,lengah,Luka Ringan,rendah,Sedang
88,Jl. Gatot Soebroto ,Sepi,R2,Tabrak Depan,lengah,Luka Ringan,Tinggi,Sedang
89,Jl. Raya Cibeureum ,Sepi,R2,Tabrak Depan,tidak tertib,Luka Ringan,Tinggi,Sedang
90,Jl. Padjajaran                     ,Ramai,R4,Tabrak Samping,tidak terampil,Luka Ringan,rendah,Sedang
91,Jl. Belitung ,Ramai,R4,Tabrak Samping,tidak terampil,Luka Ringan,rendah,Sedang
92,Jl. Soekarno Hatta ,Ramai,R4,Tabrak Samping,lengah,Luka Ringan,rendah,Sedang
93,Jl. Pamekar Raya ,Sepi,R2,Tabrak Depan,tidak terampil,Meninggal dunia,Tinggi,Berat
94,Jl. Batununggal Raya ,Sedang,R4,Tabrak Depan,lengah,Luka Ringan,Tinggi,Sedang
95,Jl. BKR ,Sedang,R2,Tabrak Manusia,kecepatan tinggi,Meninggal dunia,rendah,Berat
96,Jl. Terusan Jakarta ,Ramai,R2,Tabrak Depan,lengah,Luka Ringan,rendah,Sedang
97,Jl. Holis ,Sepi,R4,Tabrak Depan,Mengantuk,Luka Ringan,rendah,Sedang
98,Jl. Ir. H. Djuanda ,Sepi,R2,Tabrak Depan,lengah,Luka Berat,rendah,Berat
99,Jl. Cigadung Raya ,Sedang,R2,Tabrak Depan,penyebab lain,Luka Ringan,rendah,Sedang
100,Jl. Peta ,Ramai,R2,Tabrak Depan,tidak terampil,Luka Berat,rendah,Berat
101,Jl. Diponogoro              ,Sedang,R2,Tabrak Depan,lengah,Luka Ringan,rendah,Sedang
102,Jl. Surapati ,Ramai,R2,Tabrak Depan,tidak terampil,Luka Ringan,rendah,Sedang
103,Jl.PHH.Mustopa ,Sedang,R2,Tabrak Depan,tidak terampil,Luka Ringan,rendah,Sedang
104,Jl. Soekarno Hatta ,Sepi,R4,Tabrak Depan,lengah,Luka Ringan,Tinggi,Sedang
105,Jl. Pelajar Pejuang ,Sepi,R4,Tabrak Depan,tidak tertib,Luka Ringan,rendah,Sedang
106,Jl. DR. Djundjunan ,Ramai,R2,Tabrak Manusia,lengah,Luka Ringan,Tinggi,Sedang
107,Jl. Ahmad Yani            ,Sepi,R2,Tabrak Depan,tidak terampil,Luka Ringan,rendah,Sedang
108,Jl. Peta ,Ramai,R2,Tabrak Depan,tidak tertib,Luka Ringan,Tinggi,Sedang
109,Jl. Gatot Soebroto ,Sepi,R2,Tabrak Manusia,lengah,Luka Ringan,rendah,Sedang
110,Jl. Soekarno Hatta  ,Sepi,R2,Tabrak Manusia,tidak tertib,Luka Ringan,Tinggi,Sedang
111,Jl. Asia Afrika ,Ramai,R2,Tabrak Depan,lengah,Luka Ringan,rendah,Sedang
112,Jl. Soerapati ,Sepi,R2,Tabrak Depan,lengah,Meninggal dunia,rendah,Berat
113,Jl. AH.Nasution ,Sepi,R2,Tabrak Manusia,tidak terampil,Luka Ringan,rendah,Sedang
114,Jl. Ahmad Yani              ,Sedang,R2,Tabrak Depan,lengah,Luka Ringan,rendah,Sedang
115,Jl. Ahmad Yani            ,Sedang,R2,Tabrak Depan,lengah,Meninggal dunia,rendah,Berat
